t,score,shape,power_db,rssi,state
66.750,-0.543,0.465,-0.061,-59.5,0
66.872,-0.565,0.482,-0.074,-58.9,0
66.993,-0.500,0.558,-0.080,-58.3,0
67.146,-0.477,0.560,-0.061,-57.2,0
67.299,-0.446,0.552,-0.094,-56.5,0
67.469,-0.460,0.476,-0.126,-56.0,0
67.650,-0.482,0.473,-0.113,-55.4,0
67.771,-0.509,0.471,-0.102,-55.8,0
67.913,-0.388,0.512,-0.174,-56.3,0
68.035,-0.281,0.587,0.176,-56.5,0
68.170,-0.289,0.548,0.153,-56.3,0
68.311,-0.267,0.556,0.165,-56.6,0
68.458,-0.210,0.610,0.164,-56.8,0
68.582,-0.054,0.681,0.208,-56.6,0
68.733,0.148,0.776,0.233,-56.5,0
68.870,0.093,0.790,0.007,-56.7,0
69.003,0.130,0.853,-0.016,-56.9,0
69.127,0.227,0.929,0.009,-56.8,0
69.275,0.172,0.821,0.044,-57.0,0
69.420,0.096,0.780,0.016,-57.1,0
69.574,0.084,0.792,-0.053,-57.1,0
69.699,0.188,0.828,-0.148,-56.9,0
69.850,0.356,1.000,-0.068,-56.8,0
69.989,0.565,1.067,-0.142,-56.6,0
70.126,0.784,1.102,-0.213,-56.5,0
70.266,0.897,1.083,-0.226,-56.5,0
70.398,0.843,1.026,-0.169,-56.7,0
70.531,0.700,0.922,-0.155,-56.9,0
70.654,0.495,0.764,-0.178,-56.9,0
70.801,0.387,0.699,-0.225,-57.0,0
70.923,0.375,0.685,-0.264,-57.1,0
71.071,0.256,0.640,-0.216,-57.0,0
71.221,0.296,0.668,-0.269,-57.1,0
71.341,0.314,0.684,-0.259,-57.2,0
71.488,0.502,0.734,-0.345,-57.2,0
71.639,0.416,0.717,-0.234,-57.0,0
71.761,0.238,0.721,-0.125,-56.8,0
71.915,0.244,0.742,-0.200,-56.7,0
72.062,0.218,0.762,-0.161,-56.5,0
72.239,0.141,0.766,-0.089,-56.5,0
72.364,0.077,0.757,-0.071,-56.5,0
72.511,0.153,0.774,-0.178,-56.8,0
72.661,0.154,0.802,-0.110,-57.0,0
72.793,0.160,0.812,-0.102,-57.0,0
72.932,0.151,0.824,-0.063,-57.0,0
73.078,0.136,0.793,-0.096,-57.0,0
73.201,0.147,0.802,-0.110,-57.0,0
73.322,0.076,0.775,0.015,-57.0,0
73.470,0.017,0.734,0.082,-57.0,0
73.630,-0.104,0.670,0.009,-57.0,0
73.770,-0.174,0.640,0.083,-57.0,0
73.919,-0.175,0.646,0.119,-57.0,0
74.039,-0.286,0.596,0.001,-57.0,0
74.161,-0.321,0.616,-0.028,-57.0,0
74.282,-0.301,0.610,-0.103,-57.0,0
74.429,-0.293,0.632,-0.071,-57.0,0
74.549,-0.215,0.700,-0.078,-57.0,0
74.669,-0.120,0.757,-0.069,-57.0,0
74.822,0.024,0.867,0.012,-56.8,0
74.969,0.200,0.960,0.010,-56.8,0
75.094,0.396,1.055,0.041,-56.8,0
75.216,0.614,1.132,0.129,-56.7,0
75.360,0.598,1.018,0.087,-56.8,0
75.480,0.534,0.965,0.083,-56.9,0
75.633,0.353,0.785,0.133,-57.1,0
75.754,0.786,0.896,0.413,-57.2,0
75.933,1.009,0.796,0.433,-56.6,0
76.053,1.083,0.780,0.415,-56.5,0
76.178,1.155,0.817,0.416,-56.8,0
76.301,1.153,0.810,0.394,-58.3,0
76.441,0.868,0.720,0.288,-59.9,0
76.592,0.299,0.605,-0.015,-60.3,0
76.740,0.312,0.842,0.156,-61.0,0
76.889,0.360,0.894,0.150,-61.2,0
77.102,0.295,0.758,0.184,-59.6,0
77.227,0.441,0.942,0.189,-58.1,0
77.379,0.421,0.842,0.183,-56.8,0
77.505,0.359,0.799,0.176,-56.8,0
77.640,0.082,0.515,-0.177,-56.8,0
